"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2664","Invalid login test with email:invalid@open.com,password:wrong123","chromium","2026-06-09","passed","2026-06-09","","LoginPageFix.spec.ts","",""
"","2649","Login page title test","chromium","2026-06-07","passed","2026-06-07","","LoginPageFix.spec.ts","",""
"","6660","Header Exists Test","chromium","2026-06-07","passed","2026-06-07","","HomePage.spec.ts","",""
"","6076","Header Exists Test","chromium","2026-06-07","passed","2026-06-07","","HomePageFix.spec.ts","",""
"","2970","User is able to login to application test","chromium","2026-06-07","passed","2026-06-07","","LoginPageFix.spec.ts","",""
"","2526","Invalid login test with email:,password:pw123","chromium","2026-06-09","passed","2026-06-09","","LoginPageFix.spec.ts","",""
"","2546","Login to application with invalid credentials with data driven test","chromium","2026-06-08","passed","2026-06-08","","LoginPageFix.spec.ts","",""
"","3170","HomePage Title test","chromium","2026-06-07","passed","2026-06-07","","HomePageFix.spec.ts","",""
"","2447","forgot password test","chromium","2026-06-07","passed","2026-06-07","","LoginPageFix.spec.ts","",""
"","3324","HomePage Title test","chromium","2026-06-07","passed","2026-06-07","","HomePage.spec.ts","",""
"","5902","Logout Link Exists Or Not test","chromium","2026-06-07","passed","2026-06-07","","HomePage.spec.ts","",""
"","6874","Logout Link Exists Or Not test","chromium","2026-06-07","passed","2026-06-07","","HomePageFix.spec.ts","",""
"","6765","forgot password test","chromium","2026-06-07","passed","2026-06-07","","LoginPage.spec.ts","",""
"","2744","Invalid login test with email:pwtestbatch@open.com,password:","chromium","2026-06-09","passed","2026-06-09","","LoginPageFix.spec.ts","",""
"","3239","User is able to login to application test","chromium","2026-06-07","passed","2026-06-07","","LoginPage.spec.ts","",""
"","2512","Login page title test","chromium","2026-06-07","passed","2026-06-07","","LoginPage.spec.ts","",""
